id;name;entity_name;table_name;clazz_name;system;generated;creat_at;generate_at;generate_class_at;description;creator_id;business_type_id;tree_table;edit_in_modal;search_form
1;用户表;User;jhi_user;User;true;true;2019-10-30 05:49:43.000000000;2019-10-29 16:15:50.000000000;2019-10-29 17:38:10.000000000;用户表;1;1;false;false;true
2;历史任务实例;HistoryTaskInstance;t_his_task_ins;HistoryTaskInstance;true;true;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;历史任务实例;1;8;false;false;true
3;角色;Authority;jhi_authority;Authority;true;true;2020-09-26T01:37:18;2020-09-26T01:37:18;2020-09-26T01:37:18;角色;1;1;true;false;false
4;部门角色;DepartmentAuthority;department_authority;DepartmentAuthority;true;true;2021-11-07T08:42:16;2021-11-07T08:42:16;2021-11-07T08:42:16;部门角色;1;4;false;false;false
5;短信消息;SmsMessage;sms_message;SmsMessage;true;true;2021-11-07T20:21:41;2021-11-07T20:21:41;2021-11-07T20:21:41;短信消息;1;1;false;false;false
6;对象存储配置;OssConfig;oss_config;OssConfig;true;true;2021-11-07T17:49:42;2021-11-07T17:49:42;2021-11-07T17:49:42;对象存储配置;1;2;false;false;false
7;API权限;ApiPermission;api_permission;ApiPermission;true;true;2021-11-07T09:42:10;2021-11-07T09:42:10;2021-11-07T09:42:10;API权限\n菜单或按钮下有相关的api权限;1;1;true;false;false
8;上传图片;UploadImage;upload_image;UploadImage;true;true;2021-11-07T18:07:23;2021-11-07T18:07:23;2021-11-07T18:07:23;上传图片;1;2;false;false;false
9;短信配置;SmsConfig;sms_config;SmsConfig;true;true;2021-11-07T21:35:23;2021-11-07T21:35:23;2021-11-07T21:35:23;短信配置;1;2;false;false;false
10;报表存储;UReportFile;u_report_file;UReportFile;true;true;2021-11-07T15:03:23;2021-11-07T15:03:23;2021-11-07T15:03:23;报表存储;1;10;false;false;false
11;通告阅读记录;AnnouncementRecord;announcement_record;AnnouncementRecord;true;true;2021-11-07T02:31:37;2021-11-07T02:31:37;2021-11-07T02:31:37;通告阅读记录;1;1;false;false;false
12;部门;Department;department;Department;true;true;2021-11-07T19:44:36;2021-11-07T19:44:36;2021-11-07T19:44:36;部门;1;4;true;false;false
13;消息模板;SmsTemplate;sms_template;SmsTemplate;true;true;2021-11-07T15:28:38;2021-11-07T15:28:38;2021-11-07T15:28:38;消息模板;1;1;false;false;false
14;网站配置;SiteConfig;site_config;SiteConfig;true;true;2021-11-07T20:11:42;2021-11-07T20:11:42;2021-11-07T20:11:42;网站配置;1;1;false;false;false
15;系统通告;Announcement;announcement;Announcement;true;true;2021-11-07T07:18:19;2021-11-07T07:18:19;2021-11-07T07:18:19;系统通告;1;1;false;false;false
16;业务类型;BusinessType;business_type;BusinessType;true;true;2021-11-07T18:23:14;2021-11-07T18:23:14;2021-11-07T18:23:14;业务类型;1;4;false;false;false
17;系统日志;SysLog;sys_log;SysLog;true;true;2021-11-07T18:24:40;2021-11-07T18:24:40;2021-11-07T18:24:40;系统日志;1;1;false;false;false
18;可视权限;ViewPermission;view_permission;ViewPermission;true;true;2021-11-07T08:20:45;2021-11-07T08:20:45;2021-11-07T08:20:45;可视权限\n权限分为菜单权限、按钮权限等\n;1;1;true;false;false
19;数据权限规则;DataPermissionRule;data_permission_rule;DataPermissionRule;true;true;2021-11-07T22:05:30;2021-11-07T22:05:30;2021-11-07T22:05:30;数据权限规则;1;1;false;false;false
20;填充规则;SysFillRule;sys_fill_rule;SysFillRule;true;true;2021-11-07T21:05:52;2021-11-07T21:05:52;2021-11-07T21:05:52;填充规则;1;4;false;false;false
21;资源分类;ResourceCategory;resource_category;ResourceCategory;true;true;2021-11-07T10:05:18;2021-11-07T10:05:18;2021-11-07T10:05:18;资源分类;1;2;true;false;false
22;上传文件;UploadFile;upload_file;UploadFile;true;true;2021-11-07T03:10:07;2021-11-07T03:10:07;2021-11-07T03:10:07;上传文件;1;2;false;false;false
23;岗位;Position;position;Position;true;true;2021-11-07T02:50:19;2021-11-07T02:50:19;2021-11-07T02:50:19;岗位\n@author jhipster.pro;1;4;false;false;false
24;数据字典;DataDictionary;data_dictionary;DataDictionary;true;true;2021-11-07T15:23:22;2021-11-07T15:23:22;2021-11-07T15:23:22;数据字典;1;4;true;false;false
25;行政区划码;RegionCode;region_code;RegionCode;true;true;2021-11-07T05:00:18;2021-11-07T05:00:18;2021-11-07T05:00:18;行政区划码;1;4;true;false;false
